Name	CONTROLE_1_L007	CONTROLE_1_L008	SAL_24_1_L007	SAL_24_1_L008	SAL_48_1_L007	SAL_48_1_L008	SAL_48_2_L007	SAL_48_2_L008	SAL_48_3_L007	SAL_48_3_L008
Cre01.g044250.t1.1	5.40283	4.97114	0.477822	0.746304	2.4077	2.64697	1.41206	1.24063	2.45286	2.91122
Cre01.g044150.t1.1	3.86034	3.00804	5.0034	5.03966	5.74757	5.41745	7.5736	8.18137	2.59394	2.31853
Cre01.g044100.t1.2	40.8037	42.2651	41.5338	41.6564	37.6726	35.9077	42.1426	42.7721	36.5166	37.6477
Cre01.g044000.t1.1	66.643	67.7271	57.0931	51.5399	33.871	36.7331	56.7864	57.5134	47.3306	43.7826
Cre01.g043950.t2.1	6.18726	5.10517	0	0	0	0	0	0	8.06733	8.97935
Cre10.g465700.t1.2	0.133068	0.232575	0	0	0.062653	0.031266	0.227123	0.264361	0	0
Cre01.g043950.t1.1	12.0303	12.3762	7.88406	8.77694	8.56569	7.81014	11.038	11.7533	0	0
Cre01.g043901.t1.1	0	0	0	0	0	0	0	0	0	0
Cre01.g043850.t1.1	3.52804	3.74305	4.96355	4.82188	1.76752	1.72287	4.21989	4.19365	3.54132	3.6534
Cre01.g043817.t1.1	0.226108	0	3.67409	2.9866	0	0	0	0.478422	0	0.434436
Cre01.g043800.t1.1	8.88303	9.93218	0.325411	0.270556	2.86015	2.49192	3.67672	3.33949	0	0
Cre10.g452450.t1.2	32.4318	32.8067	52.9595	53.2307	38.4976	38.5027	34.5492	33.957	41.3705	42.012
Cre01.g043600.t1.1	5.56252	5.16751	4.14303	5.94601	3.09743	2.90913	7.19696	5.56768	6.28539	6.67489
Cre01.g043400.t1.2	12.0869	10.7795	7.81585	8.04808	3.81799	4.52217	9.78707	10.4722	2.82177	2.90696
Cre01.g043350.t1.2	38.6193	42.8907	136.039	134.565	124.163	125.651	131.54	135.977	140.611	140.968
Cre01.g043300.t1.2	7.6708	8.30604	8.20882	9.01735	7.70399	8.11876	12.5679	12.1179	20.9399	20.2906
Cre01.g043250.t1.1	3.62855	4.36175	2.27354	2.40201	1.26198	1.56743	2.30415	2.87353	2.06932	2.25058
Cre10.g431100.t1.1	2.53368	2.71985	2.00992	2.35518	1.7152	1.87213	3.32088	3.29533	3.29009	3.6784
Cre01.g043200.t1.2	38.9032	38.2991	145.292	140.796	125.258	119.396	135.533	134.735	111.19	92.7555
Cre01.g043150.t1.2	79.1056	77.2297	70.8133	74.2528	59.6719	58.4122	79.2143	80.6564	64.927	74.5824
Cre01.g043100.t1.2	23.3906	20.242	21.4543	24.8962	27.457	25.7156	36.0895	38.0234	35.644	37.0575
Cre01.g043050.t1.2	47.5591	45.228	16.1358	14.6463	21.8039	23.5019	17.7227	16.5289	21.9944	23.5867
Cre01.g042900.t1.2	13.9241	15.2111	26.0055	21.1068	8.77716	7.5462	13.3595	14.7335	26.9308	30.0154
Cre01.g042800.t1.2	19.7962	19.7079	74.8736	72.0068	57.5268	60.1989	68.8517	66.3207	68.2862	70.2995
Cre01.g042700.t1.2	1.19455	1.32549	0	0	0	0	0	0	0	0
Cre01.g042600.t1.2	0.20648	0	0	0	0	0	0	0	0	0
Cre04.g215100.t1.1	27.6565	28.4605	7.57706	8.93974	2.64435	2.08912	8.59216	8.1727	2.72384	2.22181
Cre01.g042550.t1.1	28.3188	24.6829	56.7513	60.8365	28.6213	28.2812	54.5221	52.9024	50.5675	46.6647
Cre01.g042502.t1.1	0.129103	0.093872	0	0	0.027108	0.066245	0.041297	0.041205	0	0
Cre10.g427850.t1.1	3.97276	4.37463	1.27866	1.14839	1.01618	1.07282	1.20368	1.14212	0.674967	0.933409
Cre01.g042450.t1.1	5.21844	4.80947	1.10384	1.03091	0.404349	0.332375	1.16348	1.03188	0.556743	0.660781
Cre01.g042100.t1.2	0.378631	0.504228	0.127524	0.113117	0.251693	0.217584	0.130129	0.128821	0	0
Cre01.g042050.t1.2	13.0134	14.2086	11.4924	10.3701	18.2914	19.2685	15.4052	14.2668	13.1671	13.6414
Cre01.g041900.t1.1	2.41044	2.56982	3.37954	3.33245	1.9455	1.62362	5.32552	4.0702	8.47776	9.53561
Cre01.g041700.t1.2	0	0	0	0	0	0	0	0	0	0
