Name	CONTROLE_1_L007	CONTROLE_1_L008	SAL_24_1_L007	SAL_24_1_L008	SAL_48_1_L007	SAL_48_1_L008	SAL_48_2_L007	SAL_48_2_L008	SAL_48_3_L007	SAL_48_3_L008
CHLRE_02g118300v5	7.99631	7.86806	13.8928	13.5918	3.26237	3.81091	10.3942	9.69935	17.0228	17.467
CHLRE_12g540150v5	4.68475	0	2.12001	2.35683	6.41121	4.95311	0	0	7.62096	8.84365
CHLRE_02g118450v5	4.44543	4.04684	3.22571	3.48302	3.51737	3.87993	4.74299	5.04434	10.4489	13.5588
CHLRE_13g591600v5	4.75986	4.7005	0.090087	0.119855	0.151176	0.075443	0.030441	0	0	0
CHLRE_12g542900v5	2.7129	2.79607	0.810054	1.11552	0.544491	0.597813	1.7099	1.78807	1.12311	1.36181
CHLRE_02g118500v5	77.869	75.708	140.121	139.008	68.9019	65.9277	106.37	108.158	103.266	98.5323
CHLRE_09g396587v5	26.0751	26.9453	22.0887	24.1039	12.6311	11.2801	27.3507	29.1552	0	0
CHLRE_02g118600v5	218.024	206.342	135.128	137.982	45.0381	43.3645	154.295	159.392	71.6488	68.4094
CHLRE_02g118650v5	6.73313	7.57157	7.29191	6.98208	2.67909	3.00236	3.69098	4.36237	5.77534	5.33907
CHLRE_02g118750v5	26.6207	28.559	17.6216	18.6573	6.71938	7.90668	10.5477	13.1832	14.1864	13.3574
CHLRE_01g028150v5	24.4672	20.4496	18.3025	14.4982	14.1574	12.1451	22.125	22.4058	39.4607	38.694
CHLRE_02g118801v5	0.698271	0.278946	1.35966	1.51309	0.612964	0.830207	0.105842	0.475157	0	0
CHLRE_03g171500v5	1.83867	2.93774	4.13448	3.60857	3.01386	2.66351	5.20925	4.36462	6.42389	5.4339
CHLRE_02g118950v5	155.12	153.846	239.527	229.038	386.703	375.084	187.906	164.362	306.705	306.123
CHLRE_02g119100v5	5.11499	4.14585	3.57848	3.06006	4.55469	4.22395	6.65405	8.21098	2.88129	2.99221
CHLRE_13g607100v5	5.89296	5.30181	5.70189	5.74134	4.46771	4.81577	8.02213	7.63915	4.82209	3.87003
CHLRE_07g353850v5	10.9751	11.2139	12.0479	12.4461	12.1535	12.4254	12.3902	9.91676	6.70022	4.67586
CHLRE_02g119201v5	0	0	0	0	0	0	0	0	0	0
CHLRE_03g181750v5	0	0.779501	0	0	0.714886	1.31094	1.2252	0.507758	0	0
CHLRE_01g043650v5	6.33355	5.79292	3.12229	3.38462	3.94257	3.61233	3.51452	3.31155	2.96499	2.16292
CHLRE_02g119250v5	1.23698	1.33815	0	0	0.964553	0.192474	2.10113	3.02711	0	0
CHLRE_02g119350v5	3.71854	2.59072	7.19414	6.69138	2.59329	2.18329	7.25489	8.01888	3.84354	4.01425
