Cre06.g278285.t1.1	CHLRE_06g278284v5
Cre01.g007600.t1.1	CHLRE_01g007600v5
Cre17.g740224.t1.1	CHLRE_17g740224v5
Cre10.g432350.t1.1	CHLRE_10g432301v5
Cre01.g012550.t1.1	CHLRE_01g012550v5
Cre09.g387319.t1.1	CHLRE_09g387300v5
Cre10.g450626.t1.1	CHLRE_10g450600v5
Cre03.g166350.t1.1	CHLRE_03g166350v5
Cre10.g442800.t1.1	CHLRE_10g442750v5
Cre11.g467789.t1.1	CHLRE_11g467789v5
Cre06.g306014.t1.1	CHLRE_06g306007v5
Cre09.g400071.t1.1	CHLRE_09g400050v5
Cre06.g255600.t1.1	CHLRE_06g255550v5
Cre14.g633600.t1.1	CHLRE_14g633600v5
Cre27.g757347.t1.1	CHLRE_27g757347v5
Cre17.g733162.t1.1	CHLRE_17g733162v5
Cre01.g006670.t1.1	CHLRE_01g006670v5
Cre06.g301800.t1.1	CHLRE_06g301750v5
Cre02.g094801.t1.1	CHLRE_02g094801v5
Cre03.g198467.t1.1	CHLRE_03g198467v5
Cre14.g628850.t1.1	CHLRE_14g628850v5
Cre17.g726550.t1.1	CHLRE_17g726550v5
Cre06.g269200.t1.1	CHLRE_06g269150v5
Cre10.g460901.t1.1	CHLRE_10g460901v5
Cre07.g349520.t1.1	CHLRE_07g349500v5
Cre10.g466600.t1.1	CHLRE_10g466600v5
Cre14.g625000.t1.1	CHLRE_14g625000v5
Cre04.g228700.t1.1	CHLRE_04g228675v5
Cre02.g142807.t1.1	CHLRE_02g142827v5
Cre17.g734789.t1.1	CHLRE_17g734789v5
Cre02.g093202.t1.1	CHLRE_02g093202v5
Cre02.g141701.t1.1	CHLRE_02g141706v5
Cre14.g633050.t1.1	CHLRE_14g633050v5
Cre05.g241653.t1.1	CHLRE_05g241652v5
Cre14.g621800.t1.1	CHLRE_14g621800v5
Cre12.g546633.t1.1	CHLRE_12g546633v5
Cre06.g292183.t1.1	CHLRE_06g292150v5
Cre28.g757697.t1.1	CHLRE_28g757697v5
Cre17.g743269.t1.1	CHLRE_17g743269v5
Cre14.g633200.t1.1	CHLRE_14g633200v5
Cre06.g252913.t1.1	CHLRE_06g252892v5
Cre01.g016001.t1.1	CHLRE_01g016001v5
Cre06.g280500.t1.1	CHLRE_06g280475v5
Cre02.g079005.t1.1	CHLRE_02g079005v5
Cre17.g701884.t1.1	CHLRE_17g701884v5
Cre12.g548250.t1.1	CHLRE_12g548250v5
Cre02.g095041.t1.1	CHLRE_02g095041v5
Cre05.g242502.t1.1	CHLRE_05g242501v5
Cre14.g609010.t1.1	CHLRE_14g609010v5
Cre04.g216774.t1.1	CHLRE_04g216737v5
Cre14.g628237.t1.1	CHLRE_14g628237v5
Cre03.g207489.t1.1	CHLRE_03g207400v5
Cre10.g439450.t1.1	CHLRE_10g439400v5
Cre05.g241202.t1.1	CHLRE_05g241150v5
Cre12.g552006.t1.1	CHLRE_12g552006v5
Cre17.g704200.t1.1	CHLRE_17g704200v5
Cre04.g230046.t1.1	CHLRE_04g229948v5
Cre08.g376900.t1.1	CHLRE_08g376850v5
Cre15.g642976.t1.1	CHLRE_15g642976v5
Cre08.g373368.t1.1	CHLRE_08g373367v5
Cre14.g616501.t1.1	CHLRE_14g616501v5
Cre05.g244000.t1.1	CHLRE_05g243950v5
Cre21.g752397.t1.1	CHLRE_21g752397v5
Cre01.g072027.t1.1	CHLRE_01g072027v5
Cre02.g097221.t1.1	CHLRE_02g097221v5
Cre16.g677001.t1.1	CHLRE_16g677001v5
Cre09.g387986.t1.1	CHLRE_09g387951v5
Cre10.g428400.t1.1	CHLRE_10g428350v5
Cre06.g278231.t1.1	CHLRE_06g278230v5
Cre02.g107256.t1.1	CHLRE_02g107300v5
Cre14.g615700.t1.1	CHLRE_14g615700v5
Cre05.g246553.t1.1	CHLRE_05g246552v5
Cre12.g487000.t1.1	CHLRE_12g487000v5
Cre05.g244701.t1.1	CHLRE_05g244700v5
Cre07.g339850.t1.1	CHLRE_07g339750v5
Cre03.g179820.t1.1	CHLRE_03g179820v5
Cre10.g450700.t1.1	CHLRE_10g450650v5
Cre13.g568467.t1.1	CHLRE_13g568467v5
Cre03.g178200.t1.1	CHLRE_03g178200v5
Cre12.g543477.t1.1	CHLRE_12g543477v5
Cre08.g385600.t1.1	CHLRE_08g385550v5
Cre13.g589550.t1.1	CHLRE_13g589550v5
Cre03.g149350.t1.1	CHLRE_03g149400v5
Cre10.g423083.t1.1	CHLRE_10g423050v5
Cre04.g217969.t1.1	CHLRE_04g217968v5
Cre08.g374600.t1.1	CHLRE_08g374550v5
Cre03.g183451.t1.1	CHLRE_03g183451v5
Cre08.g383750.t1.1	CHLRE_08g383702v5
Cre07.g312701.t1.1	CHLRE_07g312650v5
Cre16.g668481.t1.1	CHLRE_16g668481v5
Cre04.g217987.t1.1	CHLRE_04g217986v5
Cre12.g548651.t1.1	CHLRE_12g548651v5
Cre11.g480700.t1.1	CHLRE_11g480700v5
Cre09.g392988.t1.1	CHLRE_09g392951v5
