"","CONTROL_mean","SALT_mean","M","D","prob","ranking"
"Cre07.g325733.t1.1.v5.5",0.62692400001724,3.14382783329299,-2.32615974741721,2.51690383327575,0.573483490822201,-3.42721812501951
"Cre07.g348700.t1.2.v5.5",3.1455425000865,0.625547166658639,2.33011828110474,2.51999533342786,0.573483490822201,3.43217535747181
"Cre14.g622340.t1.1.v5.5",4.90569650013491,1.67289849997853,1.55210806651614,3.23279800015637,0.573466520039101,3.58608733300788
"Cre13.g569600.t1.2.v5.5",1.9891000000547,5.39266749993079,-1.43888327509834,3.40356749987609,0.573412213533181,-3.6952208060643
"Cre10.g418150.t1.2.v5.5",2.30754800006346,0.0833333333322639,4.79132315889599,2.22421466673119,0.573378271966982,5.28241502503119
"Cre06.g278139.t1.1.v5.5",23.0475075006338,13.7071836664908,0.749678557571224,9.34032383414305,0.573266264798523,9.3703611065072
"Cre02.g085950.t1.2.v5.5",38.9477085010711,60.8592056658856,-0.643937054493149,21.9114971648146,0.573215352449223,-21.9209571628117
"Cre07.g328075.t3.1.v5.5",8.04985150022137,14.6030919998126,-0.859239797436677,6.55324049959122,0.573184805039644,-6.60933083413001
"Cre14.g630350.t1.1.v5.5",4.04446100011122,1.15046083331857,1.81373558063854,2.89400016679265,0.573184805039644,3.41538778499164
"Cre03.g149150.t1.2.v5.5",17.5565920004828,10.0463771665377,0.805337479587842,7.51021483394507,0.573167834256544,7.55327050409539
"Cre02.g095127.t1.1.v5.5",1.88105850005173,5.21717516659971,-1.47172415594007,3.33611666654798,0.573076192027805,-3.64631956964783
"Cre12.g509650.t1.2.v5.5",115.909024003187,75.9264131656923,0.610319129932936,39.9826108374952,0.573011703052026,39.9872687092149
"Cre16.g658075.t1.1.v5.5",87.5547475024078,56.9166853326029,0.621333762568264,30.6380621698049,0.572875936787227,30.6443617842718
"Cre15.g641282.t2.1.v5.5",38.3315455010541,59.8743494992316,-0.643405909108312,21.5428039981775,0.572767323775388,-21.5524099642654
"Cre02.g086887.t3.1.v5.5",5.36316300014749,10.5564854998645,-0.976973601509758,5.19332249971704,0.572651922450309,-5.28441822759272
"Cre10.g447000.t1.2.v5.5",56.8338450015629,87.0760796655492,-0.61552613416875,30.2422346639863,0.57264852829369,-30.2484979774774
"Cre17.g731800.t1.2.v5.5",13.5039605003714,22.7423601663748,-0.751999393399456,9.23839966600345,0.57261798088411,-9.26895525269627
"Cre15.g637282.t1.1.v5.5",8.3965010002309,15.0852701664731,-0.845280377697114,6.68876916624217,0.57260779841425,-6.74196795277104
"Cre17.g736950.t2.1.v5.5",0.250000000006875,2.54473399996734,-3.34751485980382,2.29473399996047,0.57259082763115,-4.0585292739097
"Cre07.g317150.t1.2.v5.5",45.9233410012629,29.0399339996273,0.661189429893743,16.8834070016356,0.57257725100467,16.8963488199398
"Cre16.g687750.t1.2.v5.5",8.62213250023711,15.4690794998015,-0.843270712244268,6.84694699956437,0.57256706853481,-6.89868021501015
"Cre09.g412550.t2.1.v5.5",0.250000000006875,2.5350903333008,-3.34203715590024,2.28509033329392,0.572482214619311,-4.04856149548591
"Cre04.g225350.t1.1.v5.5",4.92494300013544,9.86476833320673,-1.00217814338904,4.9398253330713,0.572444878896492,-5.04045983540586
"Cre10.g465500.t1.1.v5.5",4.95294500013621,9.89177683320639,-0.997943090995753,4.93883183307018,0.572444878896492,-5.03864567996337
"Cre13.g582755.t2.1.v5.5",6.19591800017039,2.51835566663435,1.2988360020724,3.67756233353604,0.572444878896492,3.90018456964827
"Cre09.g403150.t1.1.v5.5",11.3326975003116,19.4934564997498,-0.782498622069513,8.16075899943818,0.572356630824373,-8.19818830842839
"Cre08.g360350.t1.1.v5.5",4.18435500011507,8.75385633322099,-1.06491345207891,4.56950133310592,0.572353236667753,-4.69194875224308
"Cre04.g214200.t1.1.v5.5",1.28398300003531,4.24771599994549,-1.72606121026503,2.96373299991018,0.572332871728033,-3.42972310782345
"Cre02.g112300.t1.1.v5.5",29.0735620007995,45.8241893327453,-0.656401521806824,16.7506273319457,0.572319295101553,-16.763483497518
"Cre11.g467720.t2.1.v5.5",4.4874440001234,1.43133033331496,1.64853726867458,3.05611366680844,0.572312506788313,3.4723919523381
"Cre09.g387282.t1.1.v5.5",3.81710700010497,8.18549299989495,-1.1005896823069,4.36838599978998,0.572220864559574,-4.50489665718999
"Cre08.g375084.t2.1.v5.5",11.9166645003277,20.3621641664054,-0.772910425646538,8.44549966607765,0.572149587270555,-8.4807933081635
"Cre17.g707250.t1.2.v5.5",3.50018250009626,7.70135499990117,-1.13768215393087,4.20117249980491,0.572112251547735,-4.35249021325606
"Cre16.g685277.t1.1.v5.5",51.2519450014094,32.7725613329128,0.645118324828422,18.4793836684967,0.571990061909417,18.4906408331494
"Cre01.g012600.t1.1.v5.5",4.79555100013188,9.64779033320952,-1.0085019669623,4.85223933307764,0.571983273596177,-4.95593611367546
"Cre04.g230242.t1.1.v5.5",8.19355100022532,3.83327216661747,1.09591240175804,4.36027883360785,0.571969696969697,4.49589318146414
"Cre01.g039300.t1.2.v5.5",644.35707051772,432.121637827788,0.576422906020883,212.235432689932,0.571935755403497,212.236215459212
"Cre06.g278211.t1.1.v5.5",143.728428503953,95.0499484987802,0.596587694983228,48.6784800051723,0.571867872271098,48.6821356607511
