"geneName","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CHLRE_03g146067v5",15.4035954211405,6.63905357694912,1.12143508507896,5.02842621207278,4.94521736158781e-07,2.53829131139141e-05
"CHLRE_12g516300v5",10.3399838251152,6.6331085232306,1.64183833305188,3.4309763694941,0.00060141298797174,0.0165005183158963
"CHLRE_03g145807v5",203.046213527172,6.62535832886689,0.861038574532333,6.53322452123851,6.43685352921228e-11,5.60230147599006e-09
"CHLRE_01g049200v5",35.0718435832623,6.60297792421708,1.05583520066,5.30667846716483,1.11640851984677e-07,6.34893913360588e-06
"CHLRE_04g222350v5",26.6923963124809,6.60237760744986,1.09641760112819,5.10971148373132,3.22651146523949e-07,1.71777410933947e-05
"CHLRE_10g433450v5",85.5874959456816,6.5813273213569,1.21922991944985,4.57774799676452,4.70008420190363e-06,0.000203649968730967
"CHLRE_04g216203v5",43.3278835468101,6.46891105354854,1.5200423748,3.59786749646904,0.000320836987666711,0.00944487473398855
"CHLRE_11g467674v5",40.9644352773682,6.3895124700754,0.943790585361635,5.7104961139343,1.12647309675336e-08,7.66997906490092e-07
"CHLRE_01g007450v5",28.5219874956007,6.36512334809152,1.13021335191517,4.74700050127721,2.06455440481302e-06,9.65613319522127e-05
"CHLRE_07g315000v5",47.1253855198916,6.32120748162432,1.71832232862239,3.09674581595551,0.00195657565456253,0.0453906747967214
"CHLRE_07g334100v5",292.365851245241,6.24316466446988,1.66357030699892,3.15175417739245,0.0016229284156727,0.0389541738908108
"CHLRE_12g488800v5",654.839158344633,6.12647381397346,0.870612866017602,5.88835062525921,3.90068878911539e-09,2.89199956224118e-07
"CHLRE_17g740050v5",22.3369202831019,6.08088606353896,1.55171256700752,3.27437321290596,0.00105896648190159,0.0271079169241765
"CHLRE_13g591600v5",29.5183567297931,6.04531301635888,0.991251273630037,5.08984265703142,3.58360741929216e-07,1.88780666629975e-05
"CHLRE_09g400182v5",27.269137359648,6.02413379855983,1.18142094767673,4.25261953280906,2.11284372480974e-05,0.000807154688611477
"CHLRE_08g374200v5",309.624177654001,5.97156760788981,1.03883015633089,4.78573670353316,1.70361273510248e-06,8.08126059982972e-05
"CHLRE_07g331650v5",6.76038532356082,5.92347317352996,1.4861282462072,3.3129530954649,0.000923164604827531,0.0239998818953734
"CHLRE_11g467721v5",362.156831210467,5.79757733360974,0.918258417606523,5.22464835782809,1.74486381527946e-07,9.64880769454815e-06
"CHLRE_09g402500v5",197.552797637929,5.76567647015543,0.825258596276252,5.77476743854498,7.70594438527864e-09,5.35616648279541e-07
"CHLRE_03g144584v5",476.485586977489,5.7178766482935,0.543463639844686,8.68112657848057,3.91867738055389e-18,6.53700698366065e-16
"CHLRE_02g087900v5",108.460826576601,5.70430617762334,0.874385029678605,5.38013119844068,7.44315738350164e-08,4.408198949791e-06
"CHLRE_12g546800v5",21.0516986698733,5.65441367782289,1.2237778581436,3.80331581164851,0.000142772155659991,0.0045079069589932
"CHLRE_12g510350v5",19.1949622607404,5.64790523153212,0.995828075474098,4.66737717684785,3.05069001353455e-06,0.000138792528843033
"CHLRE_13g587300v5",22.8768191142715,5.57120341733013,1.44561509103246,3.16211655902496,0.00156626857513373,0.0378666235954433
"CHLRE_03g149400v5",350.624622363354,5.55288367238855,0.622681377085183,7.31173894054924,2.6370707868509e-13,2.93271572284341e-11
"CHLRE_02g079351v5",15.6013876903651,5.45747944244407,1.22984717591353,3.62441735017445,0.00028961361439813,0.00862721031699669
"CHLRE_16g672609v5",24.3658167299719,5.43200006336404,1.44015410956385,3.07744847161271,0.00208780931156102,0.0476011011376178
"CHLRE_17g701150v5",13.8222823232821,5.38482763292342,1.34526856287843,3.2594440648649,0.00111630790446828,0.0282863944704379
"CHLRE_10g461200v5",47.5898081563798,5.31487072620329,1.40839059080072,3.06368897547814,0.00218626075658932,0.0492844232268074
"CHLRE_04g224850v5",87.4514950279293,5.26275868428035,1.19222702564055,3.57545886194794,0.000349614150413509,0.0102020059227079
"CHLRE_16g668850v5",229.097616564772,5.11090203824949,0.256504413214126,16.0266327847458,8.32744638438748e-58,1.19070586944763e-54
"CHLRE_14g632350v5",167.353348724694,5.04084043588824,0.552826841454983,7.30941432809804,2.6830925611559e-13,2.9511069719351e-11
"CHLRE_14g633050v5",42.3269526927077,5.02340073899705,0.897168301051392,4.48455516571643,7.30662016914661e-06,0.000308009895293902
"CHLRE_06g300450v5",375.845751284323,4.99358276679665,0.344466013642852,11.5935465579407,4.44344809183202e-31,1.77897887804587e-28
"CHLRE_02g090050v5",109.770970554847,4.90077333167019,0.658702151161977,5.92190768587756,3.18228254422024e-09,2.3948470665489e-07
"CHLRE_03g170250v5",104.990886831191,4.89327261886385,0.382064734128437,10.1900863154647,2.19569175662821e-24,5.78333652423466e-22
"CHLRE_12g537400v5",359.535256445431,4.77264718822535,0.909834454271257,4.14652046920678,3.37566014393291e-05,0.0012241660282835
"CHLRE_17g697300v5",53.851974609397,4.62285207205791,1.1611466700982,3.12006412742975,0.00180811672055582,0.0423827640656748
"CHLRE_17g735450v5",316.098837440319,4.62248490626744,0.288050666215115,12.5758601910755,2.86662978914294e-36,1.51011039787009e-33
"CHLRE_16g685650v5",201.3188602175,4.5433957100537,0.834837130446452,4.24441556421762,2.19163870233439e-05,0.00083407269093783
"CHLRE_06g308150v5",19.1263859919228,4.51499153267913,0.968171615164563,3.63054594621809,0.000282822350307989,0.00845005643054527
"CHLRE_24g755597v5",343.23754904454,4.49981623221633,0.393670513720314,8.89021684439084,6.09897664904107e-19,1.09008316571879e-16
"CHLRE_02g095145v5",33.0621134512239,4.28233982424692,0.93159533321631,3.52335365712355,0.000426122346720471,0.0120823188904396
"CHLRE_17g732450v5",27.2850234680883,4.1706775303669,0.673343254565864,4.70885764261674,2.49108969376462e-06,0.000114434175468467
"CHLRE_07g335150v5",9516.68261909203,4.1128817460688,0.529459307578823,5.87935975722813,4.11856371442608e-09,3.03108119247726e-07
"CHLRE_03g186050v5",55.519908181224,4.08962563749058,0.963566084946092,3.20644913282044,0.00134384061480049,0.0332111128729336
"CHLRE_03g149450v5",346.120264066919,4.0353993230755,0.382538901321513,7.93487750550194,2.10703179304512e-15,2.77490542323535e-13
"CHLRE_12g556228v5",77.7688764704405,3.98938005320165,0.305632151549958,9.78097375567836,1.35896720063875e-22,3.23854826456981e-20
"CHLRE_16g669050v5",41.0444974694421,3.94692742168555,0.772613256102379,3.81423357470203,0.000136606220730395,0.00432687235218522
"CHLRE_06g294150v5",492.395219731389,3.90875003936885,0.433093358972636,6.7162194457769,1.86499864259719e-11,1.7284047605329e-09
"CHLRE_01g022150v5",35.089866139063,3.89617632022053,0.870638663224332,3.3264963325828,0.000879451771188543,0.0232250530231544
"CHLRE_01g023650v5",29.8768935821451,3.84579811694977,0.904467790693554,3.14637861760404,0.00165305860960055,0.039393961008314
"CHLRE_05g241300v5",88.9905921692217,3.58308946692326,0.344766056769348,7.49229634473958,6.76788961361864e-14,7.96938907561282e-12
"CHLRE_14g616700v5",239.055824569257,3.57595204930316,0.764493923804446,3.3694866225805,0.000753083465691738,0.0202080761611491
"CHLRE_13g590500v5",24151.8408966093,3.49110993469602,0.652080931812307,3.82024655708388,0.000133318336150626,0.00426245696517876
"CHLRE_03g163950v5",305.540324758787,3.39457391304533,0.733279541998269,3.26556759857209,0.00109244927019122,0.027893685574857
"CHLRE_05g234655v5",187.947504175979,3.35058481825905,0.584785004187851,4.0195709558653,5.83042206456187e-05,0.00198492157973469
"CHLRE_12g530600v5",754.014072882143,3.31582636255899,0.635077548940495,3.64652532028963,0.000265810296736828,0.00803856815361342
"CHLRE_03g182700v5",281.654825334421,3.25451401748932,0.337021303675737,6.68952969115118,2.2388895838365e-11,2.01883295897473e-09
"CHLRE_01g030350v5",152.79439590405,3.25070675509064,0.366638031991049,6.13877055489318,8.316257999697e-10,6.76727043243636e-08
"CHLRE_05g234641v5",79.3211745344778,3.19080015202847,0.560114651935959,3.91134233760227,9.17845644497977e-05,0.00300219511626806
"CHLRE_08g358583v5",465.942375045763,3.17793828627497,0.464865186525449,4.68509656004481,2.79827977629879e-06,0.000127890330050112
"CHLRE_01g006950v5",5000.68500253345,3.05757491727403,0.498026137689456,4.1314596997257,3.60466894143898e-05,0.00129781048326844
"CHLRE_10g447650v5",110.818916701291,3.05276748885777,0.460496595628987,4.45772565604728,8.28338196824239e-06,0.000345451542167242
"CHLRE_06g257183v5",244.300450590411,3.02362369720639,0.37770066546996,5.35774459038473,8.42672483670599e-08,4.96135817003472e-06
"CHLRE_14g629840v5",61.2422547117056,2.96730184339119,0.496620278740549,3.96138040995901,7.45177020942471e-05,0.00249547033963641
"CHLRE_07g328750v5",1123.09210398916,2.9631216674621,0.198221270443023,9.90368825239865,4.01200162276915e-23,1.00390310605741e-20
"CHLRE_03g177400v5",336.091058395918,2.95762092545163,0.37659797243532,5.19817170759688,2.01258181320666e-07,1.10076127696096e-05
"CHLRE_11g467628v5",161.839664738309,2.93751276769042,0.297353421479989,6.51585832793524,7.22751664082087e-11,6.23622534982552e-09
"CHLRE_09g392300v5",803.027357044425,2.89438252380923,0.459438289171337,4.12325783126615,3.73551164386587e-05,0.00133893991852804
"CHLRE_03g178000v5",126.689079464741,2.84908774132741,0.563404054720009,3.28199225020903,0.00103076437993061,0.0265900017492926
"CHLRE_03g154750v5",472.289144996369,2.83856774722277,0.509379661532105,3.60942512249656,0.00030687633627985,0.0090873528101332
"CHLRE_07g317908v5",48.3202749225191,2.8114065488772,0.527978395499028,3.43083460292938,0.000601727363902702,0.0165005183158963
"CHLRE_02g102200v5",833.028421352093,2.8112603582842,0.542044632616237,3.34153361051091,0.000833169284712246,0.0221198710097742
"CHLRE_10g459500v5",1225.18525436012,2.78781242955196,0.189838594765037,9.41753931419865,4.61782870424009e-21,9.6291348959873e-19
"CHLRE_17g707551v5",303.189142414687,2.7787156946857,0.40536659269354,4.38791880422771,1.1444048091574e-05,0.000465623891660831
"CHLRE_09g390604v5",1865.4170051025,2.77415721140812,0.577949333117639,3.06974523499796,0.00214241437323638,0.0486245475322515
"CHLRE_01g000650v5",563.4888488466,2.74168149057797,0.375537695583683,4.63783399392421,3.52079383458027e-06,0.000158025226413964
"CHLRE_07g331401v5",54.7908217839013,2.74136476595498,0.418000110454556,4.1659433153291,3.10067745660913e-05,0.00114098090673532
"CHLRE_16g677100v5",58.4514199252206,2.72141675518684,0.54710380397687,3.14641708332851,0.00165284119159761,0.039393961008314
"CHLRE_09g403150v5",78.9867919729461,2.67870018768563,0.416645717040507,4.02908302912525,5.5994840389844e-05,0.00192729359298393
"CHLRE_02g112550v5",118.283482488713,2.66834505013738,0.533495410722435,3.12719662926095,0.00176481851556039,0.0414649495827322
